source	target
  There are no items to show in this view.  Double-click here to create a new Contact.	Иҟаӡам аелементқәа   ари аԥенџьыр аҟны иаарԥшразы. Ҩынтә абраҟа шәақәыӷәӷәа аимадара ҿыц аԥҵаразы
  There are no items to show in this view.	Иҟаӡам аелементқәа   ари аԥенџьыр аҟны иаарԥшразы
The second timezone for a Day View	Аҩынтәтәи асааҭзона амш ахҳәааҟны
The side of the board that is in the foreground	Иааигәаны иҟоу аӷәы аган
The unit used by RGB component and strings.	Аидкыла,  ацәаҳәақәеи RGB ахәҭеи ахархәара азызуа .
The white is not D50 white	Аԥштәы шкәакәа  еиԥшӡам ашкәакәа  D50 
The window’s height in pixels	Аԥенџьыр аҳаракыра пиксельла
This was the third time you entered a wrong password. Please try again.	Хынтә ииашам ажәамаӡа ҭажәҩит .Еиҭа шәҽазышәшәа.
Tile View	Адыргаҷақәа  рыԥшра рыҭаны
Times	Аамҭа
time	Аамҭа
Time	Аамҭа
Timor-Leste	Амрагыларатәи Тимор
TLS backend does not implement TLS binding retrieval	Абиблиотека TLS инанагӡаӡом адгалара TLS binding ахь
TODO/FIXMEs	TODO/FIXME
Toggle the silencing of speech	 Аамҭала ацәажәара аҿакра, мамзар аҿыхра
Top Bar	Хыхьтәи апанель
Top Bin	Хыхьтәи аконтеинер
Top Half	Хыхьтәи абжара
Top Left	Хыхьтәи армаратәи
Toplevel Height	Ихадоу аԥенџьыр аҳаракыра
Toplevel	Иреиҳаӡоу аҩаӡара
_Top of window	_Аԥенџьыр ақәцә
Top of window	Аԥенџьыр ақәцә
top	хыхь
Top	Хыхь
_Top:	_Хыхьтәи:
translator-credits	Александр Кострикин Валек Филиппов aka frob Дмитри Мастрюков Вячеслав Диконов Михаил Иахонтов Леонид Кантер Ser82-png, 2022
translator-credits	Валек Филиппов <frob@df.ru> Сергеи Сафонов <spoof@spoofa.info> Юри Миасоедов <ymyasoedov@yandex.ru>, 2014. Alexey Rubtsov <rushills@gmail.com>, 2021
Tree View Attributes	аҵла аҟазшьарбагақәа
true	иаҿакуп
Tuesday is a work day	Аҩаша - аусура амш
Tuesday	Аҩаша
_Tue	_Аҩ
Tue	Аҩ
turquoise	ахаҳәиаҵәатә
Tu	Аҩ
T	Аҟны
T	Аҩ
U.K. English Grade 1	Британиатәи  англиски аҩаӡара 1
U.K. English Grade 2	Британиатәи  англиски аҩаӡара 2
Unicase	Аихшагада
Unnamed (%s).img	Хьӡыда (%s).img
(unnamed)	(хьӡыда)
Unnamed	Хьӡыда
Untagged	Дыргада
unversioned	версиада
Upper total	Хыхьтәи аицҵалыҵ 
Upper:	Хыхьтәи :
uri: %s 	uri: %s 
U.S. English Grade 1	Англызбызшәа аҩаӡара 1
U.S. English Grade 2	Англызбызшәа аҩаӡара 2
UUIDs of extensions to enable	UUID иаҿаку ахкырбагақәа
Vacaville	Вакавиль
Vadsø	Вадсио
Vaduz	Вадуз
Vai	Ваи
Valdez	Валдес
Val-d'Or	Вал-д-Ор
Valdosta	Валдоста
Valencia	Валенсиа
Valentine	Валентаин
Valentine	Валентин
Valera	Валера
Valladolid	Валиадолид
Vallejo	Валлеио
Valletta	Валетта
Valley	Валле
Val Marie	Вал-Мари
Valparaiso	Вальпараисо
Vamdrup	Вамдруп
Vancouver	Ванкувер
Van Nuys	Ван Наис
Vantaa	Вантаа
Vanuatu	Вануату
Van	Ван
Varennes	Вареннес
Varese	Варесе
variant	авариант
Variant	Авариант
Varkaus	Варкаус
Varna	Варна
Västerås	Вестерос
Vatican City	Ватикан
Vattu Variants	Авариантқәа ватту
Vattu Variants	Авариантқәа Ватту
Växjö	Векше
Vector Graphics	Аҵәырхатә графика
Vegreville	Вегревиль
Velikiye Luki	Великие Луки
Vélizy	Велизи
Venezuelan Bolívar	Венесуелатәи боливар фуерте
Venezuela	Венесуела
Venice	Венециа
Ventura	Вентура
Veracruz	Веракрус
Verbania	Вербаниа
Vercelli	Верчелли
Vereeniging	Вереенигинг
Vermont	Вермонт
Vernal	Вернал
Vernon	Вернон
Version 0	Аверсиа 1
Version 1	Аверсиа 2
Version of this application	Ари аԥшьы аверсиа
Version %s	Аверсиа %s
version	аверсиа
Version	Аверсиа
Version:	Аверсиа:
Vertical Alignment	Гәҵәыла  аиҟаратәра
vertical align	Гәҵәыла  аиҟаратәра
vertical bar	агәҵәытә цәаҳәа
Vertical Button Box	Агәҵәытә пытҟәырқәа ргәыԥ
vertical ellipsis	Гәҵәылатәи акәаԥрацәа 
Vertical Kerning	Гәҵәыла кернинг
_Vertical Layout	_Гәҵәыла аҭыԥыркра
Vertical Panes	Агәҵәытә панель
Vertical Scale	Агәҵәытә аихшарба
vertical scroll bar	Гәҵәылатәи аҭаргьежьга цәаҳәа
Vertical Scrollbar	Гәҵәылатәи аҭаргьежьга цәаҳәа
Vertical Writing	Гәҵәыла аҩышьа
Vertical Writing	Гәҵәылатәи ацҳамҭа
vertical	агәҵәытә
Vertical	Гәҵәыла
Vertical	Гәҵәылатәи
Vibo Valentia	Вибо Валенциа
Video DVD	DVD-Video
Video height	Авидео аҳаракыра
Videos	Авидео
video	Авидео
_Video	_Авидео
Video	Авидео
Vienna	Вена
View as type	Аԥшра
View as	Аԥшра
_View	_Аԥшра
View	Аԥшра
Vigie	Виги
Vigo	Виго
volcanic ash	авулкан аццышә
Volcanic ash	Авулкан аццышә
Vršac	Вршац
Vulkan API version	Аверсиа API Vulkan
Wabush	Вабуш
Wadena	Вадена
Wadesboro	Вадесборо
Wahiawā	Вахиава
Wahpeton	Вахпетон
Waiki‘i	Ваикии
WakeUp	Ицәоу арежим аҟынтә аҭыҵра
Wakkanai	Вакканаи
Wallis and Futuna	Валлиси Фотунеи
Warang Citi	Варанг Сити
Warren	Варрен
Warsaw	Варшава
Washington	Вашингтон
Waterloo	Ватерлоо
Watrous	Ватрус
Wawa	Вава
Weatherford	Везерфорд
Webershausen	Вебершаузен
Web pages	Веб-адаҟьа
_Web page:	_Веб-адаҟьа :
Web Page	Веб-адаҟьа
Web Page:	Веб-адаҟьа:
Web service	Веб-асервис
Website	Веб-адаҟьа
Website:	Веб-асаит:
Website	Веб-асаит абраузера
WebSQL databases	Адыррақәа рбаза WebSQL
weight	Акапан
Weight	Акапан
Wellington	Веллингтон
Welsh Grade 1	Валлиатә аҩаӡара 1
Welsh Grade 2	Валлиатә аҩаӡар 2
Westerland	Вестерланд
Westhampton Beach	Вестхемптон
Westminster	Вестминстер
Westport	Вестпорт
Weyburn	Веибурн
Wharton	Вартон
Wha Ti	Ва-Ти
Whether edge scrolling is enabled	Иаҿакума аҿацәтә ҭаргьежьга
Whether or not postprocessing is enabled	Иаҿаку иаҿакыму ашьҭахьтәи аус адулара
Whether or not postprocessing is enabled.	Иаҿаку иаҿакыму ашьҭахьтәи аус адулара
Whether the “Bounce Keys” keyboard accessibility feature is turned on.	Иаҿакума арыдыркыра азы иадҟьо арыдқәа иҷыдоу рылшара .
Whether the “Mouse Keys” accessibility feature is turned on.	Иаҿакума арыдқәа рыцхыраарала аҳәынаԥ анапхгара аҭара иҷыдоу алшара 
Whether the on-screen keyboard is turned on.	Иаҿакума аекрантә рыдыркыра 
Whether the privacy screen is enabled	Иаҿакума аекран амаӡара
Whether the RDP backend is enabled or not	Иаҿаку иаҿакыму бэкэнд RDP
Whether the screen magnifier is turned on.	Иаҿакума аекрантә  рдуга
Whether the shell integration is enabled	Иаҿакума ахарԥа  адҵара
Whether the “Slow Keys” accessibility feature is turned on.	Иаҿакума имыццакуа арыдқәа иҷыдоу рылшара 
Whether the text-highlight module is enabled	Иаҿакума атекст алкаара  амодуль
Whether the “Toggle Keys” accessibility feature is turned on.	Иаҿакума аиагаратә рыдқәа иҷыдоу рылшара
Whether the VNC backend is enabled or not	Иаҿаку иаҿакыму бэкэнд VNC
Whether two-finger scrolling is enabled	Иаҿакума ҩ-нацәак рыла аҭаргьежьга
White bishop at %1$s takes the black bishop at %2$s	Аслан шкәакәа  %1$s аслан еиқәаҵәа агоит %2$s аҟны
White bishop at %1$s takes the black knight at %2$s	Аслан шкәакәа  %1$s аҽы еиқәаҵәа агоит %2$s аҟны
White bishop at %1$s takes the black pawn at %2$s	Аслан  шкәакәа  %1$s апешка еиқәаҵәа агоит %2$s аҟны
White bishop at %1$s takes the black queen at %2$s	Аслан  шкәакәа  %1$s аферз еиқәаҵәа агоит %2$s аҟны
White bishop at %1$s takes the black rook at %2$s	Аслан  шкәакәа  %1$s абааш еиқәаҵәа агоит %2$s аҟны
White bishop moves from %1$s to %2$s	Аслан  шкәакәа %1$s аҟынтәи  %2$s ахь ииасоит
White captured Black's pawn <span font_style='italic'>en passant</span>.	Ашкәакәақәа Аиқәаҵәақәа рпешка ргеит<span font_style='italic'>на проходе</span>.
White castles kingside	Ашкәакәақәа икьаҿу арокировка ҟарҵоит
White castles queenside	Ашкәакәақәа иау арокировка ҟарҵоит
Whitehead	Ахы шкәакәа
White is in check and cannot move.	Ашкәакәақәа шах аҵаҟа иҟоуп уи азы изныҟәаӡом
White is in Check	Ашкәакәақәа шах аҵаҟа иҟоуп.
White is Thinking…	Ашкәакәақәа хәыцоит...
White king at %1$s takes the black bishop at %2$s	Аҳ шкәакәа  %1$s аслан еиқәаҵәа агоит %2$s аҟны
White king at %1$s takes the black knight at %2$s	Аҳ шкәакәа  %1$s аҽы еиқәаҵәа агоит %2$s аҟны
White king at %1$s takes the black pawn at %2$s	Аҳ шкәакәа  %1$s апешка еиқәаҵәа агоит %2$s аҟны
White king at %1$s takes the black queen at %2$s	Аҳ шкәакәа  %1$s аферз еиқәаҵәа агоит %2$s аҟны
White king at %1$s takes the black rook at %2$s	Аҳ шкәакәа  %1$s абааш еиқәаҵәа агоит %2$s аҟны
White king moves from %1$s to %2$s	Аҳ шкәакәа %1$s аҟынтәи  %2$s ахь ииасоит
White knight at %1$s takes the black bishop at %2$s	Аҽы шкәакәа  %1$s аслан еиқәаҵәа агоит %2$s аҟны
White knight at %1$s takes the black knight at %2$s	Аҽы шкәакәа  %1$s аҽы еиқәаҵәа агоит %2$s аҟны
White knight at %1$s takes the black pawn at %2$s	Аҽы шкәакәа  %1$s апешка еиқәаҵәа агоит %2$s аҟны
White knight at %1$s takes the black queen at %2$s	Аҽы шкәакәа  %1$s аферз еиқәаҵәа агоит %2$s аҟны
White knight at %1$s takes the black rook at %2$s	Аҽы шкәакәа  %1$s абааш еиқәаҵәа агоит %2$s аҟны
White knight moves from %1$s to %2$s	Аҽы шкәакәа  %1$s аҟынтәи  %2$s ахь ииасоит
White list of additional plugins to use	«Ашкәакәа» ахархәаразы иацҵаны амодульқәа  рыхьӡынҵа
_White on black:	_Ашкәакәа аиқәаҵәа аҟны:
White on black	Ашкәакәа аиқәаҵәа аҟны
White pawn at %1$s takes the black bishop at %2$s	Апешка шкәакәа  %1$s аслан еиқәаҵәа агоит  %2$s аҟны
White pawn at %1$s takes the black knight at %2$s	Апешка шкәакәа  %1$s аҽы еиқәаҵәа агоит  %2$s аҟны
White pawn at %1$s takes the black pawn at %2$s en passant	Апешка шкәакәа  %1$s апешка еиқәаҵәа агоит  %2$s аҟны абжьысраҟны
White pawn at %1$s takes the black pawn at %2$s	Апешка шкәакәа  %1$s апешка еиқәаҵәа агоит  %2$s аҟны
White pawn at %1$s takes the black queen at %2$s	Апешка шкәакәа  %1$s аферз еиқәаҵәа агоит  %2$s аҟны
White pawn at %1$s takes the black rook at %2$s	Апешка шкәакәа  %1$s абааш еиқәаҵәа агоит  %2$s аҟны
White pawn moves from %1$s to %2$s	Апешка шкәакәа ииасоит  %1$s аҟынтә  %2$s ахь
White point	Акәаԥ шкәакәа
White queen at %1$s takes the black bishop at %2$s	Аферз шкәакәа  %1$s аслан еиқәаҵәа агоит %2$s аҟны
White queen at %1$s takes the black knight at %2$s	Аферз шкәакәа  %1$s аҽы еиқәаҵәа агоит %2$s аҟны
White queen at %1$s takes the black pawn at %2$s	Аферз  шкәакәа  %1$s апешка еиқәаҵәа агоит %2$s аҟны
White queen at %1$s takes the black queen at %2$s	Аферз  шкәакәа  %1$s аферз еиқәаҵәа агоит %2$s аҟны
White queen at %1$s takes the black rook at %2$s	Аферз  шкәакәа  %1$s абааш еиқәаҵәа агоит %2$s аҟны
White queen moves from %1$s to %2$s	Аферз  шкәакәа %1$s аҟынтәи  %2$s ахь ииасоит
White rook at %1$s takes the black bishop at %2$s	Абааш шкәакәа  %1$s аслан еиқәаҵәа агоит  %2$s аҟны
White rook at %1$s takes the black knight at %2$s	Абааш шкәакәа  %1$s аҽы еиқәаҵәа агоит  %2$s аҟны
White rook at %1$s takes the black pawn at %2$s	Абааш шкәакәа  %1$s апешка еиқәаҵәа агоит  %2$s аҟны
White rook at %1$s takes the black queen at %2$s	Абааш шкәакәа  %1$s аферз еиқәаҵәа агоит  %2$s аҟны
White rook at %1$s takes the black rook at %2$s	Абааш шкәакәа  %1$s абааш еиқәаҵәа агоит  %2$s аҟны
White rook moves from %1$s to %2$s	Абааш шкәакәа ииасоит  %1$s аҟынтә  %2$s ахь
White Wins	Ашкәакәақәа аиааира ргеит
White	Ашкәакәақәа
Widget Attributes	Авиджет аҟазшьарбагақәа
Window Attributes	Аԥенџьыр аҟазшьарбагақәа
Window height	Аԥенџьыр аҳаракыра
Windows animated cursor	Ианимациарку ахырхага Windows
Wired 802.1X authentication	Ахаҭареилкаара Wired 802.1X
Wireless device does not support Hotspot mode	Иҭелдоу аиҿартәыра анеира аҭыԥ арежим аднакылаӡом
Wireless keyboard	Иҭелдоу арыдыркыра
Wireless mouse	Иҭелдоу аҳәынаԥ
Wireless networking is disabled	Иҭелдоу аҳатә еимадара аҿыхуп
Wireless Wan is disabled when airplane mode is on	Иҭелдоу аҳақәа аҿыххоит авиарежим анаҿаку
) without opening (	) иаазыртуа ада (
Without Sound	Бжьыда
Woensdrecht	Вунсдрехт
Wolf Point	Вулф-Поинт
Woodruff	Вудруф
Woomera	Вумера
Wooster	Вустер
W_orried	Згәы ҭ_ынчым
Would you like to send a cancellation notice for this memo?	Ари азгәаҭа аԥыхра иазкны адырра шәышьҭыр шәҭахума?
Wunstorf	Вунсторф
Wyoming	Ваиоминг
Yesterday, %1$s – %2$s	Иацы, %1$s – %2$s
Yesterday %H:%M	Иацы%H:%M
Yesterday, %H∶%M	Иацы, %H∶%M
Yesterday %H∶%M	Иацы в %H∶%M
Yesterday %I∶%M %p	Иацы в %I∶%M %p
Yesterday %l∶%M %p	Иацы%H:%M
Yesterday %l:%M %p	Иацы%l:%M %p
Yesterday, %l∶%M %p	Иацы, %-l∶%M %p
Yesterday %s	Иацы%s
yesterday	Иацы
Yesterday	Иацы
You are modifying a recurring event. What would you like to modify?	Шәара еиҭаҟало  ахҭыс шәыԥсахоит. Иарбан ишәыԥсахҵәҟьар ишәҭаху?
You are modifying a recurring memo. What would you like to modify?	Шәара еиҭаҟало  азгәаҭа шәыԥсахоит. Иарбан ишәыԥсахҵәҟьар ишәҭаху?
You are modifying a recurring task. What would you like to modify?	Шәара еиҭаҟало  аҳасабтә шәыԥсахоит. Иарбан ишәыԥсахҵәҟьар ишәҭаху?
You are not allowed to open this file.	Ари афаил аартра азин шәымаӡам
You are searching for a five.	Шәара хәба шәашьҭоуп
You are searching for a four.	Шәара ԥшьба  шәашьҭоуп
You are searching for a jack.	Шәара валет шәашьҭоуп.
You are searching for a king.	Шәара аҳ шәишьҭоуп
You are searching for an ace.	Шәара туз шәашьҭоуп
You are searching for an eight.	Шәара ааба шәашьҭоуп
You are searching for a nine.	Шәара жәба шәашьҭоуп
You are searching for a queen.	Шәара аӡӷаб шәлышьҭоуп.
You are searching for a seven.	Шәара бжьба шәашьҭоуп
You are searching for a six.	Шәара фба  шәашьҭоуп
You are searching for a ten.	Шәара жәаба шәашьҭоуп
You are searching for a three.	Шәара хԥа шәашьҭоуп
You are searching for a two.	Шәара  ҩба шәашьҭоуп
You are using a preview of Books. Full viewing capabilities are coming soon!	Шәара шәхы иашәырхәоит ашәҟәы заанаҵтәи аверсиа.Инаӡоу алшарақәа реизга хара имгакәа ицәырҵуеит!
You have completed the game.	Ахәмарра шәахысит.
You have the Caps Lock key on.	Caps Lock аҿакуп.
You may need to select different mail options.  Detailed error: {0}	Шәара аԥошьҭа егьырҭ ахышәарақәа  азалшәхыр акәхоит.  Амзыз: {0}
You reached the maximum authentication attempts, please try another method	Шәара шәхы иашәырхәеит  аҭаларазы аҽазышәарақәа зегьы,  ҳшәыҳәоит даҽа методк шәхы иашәырхәарц
You reached the maximum auto login attempts, please try another authentication method	Шәара шәхы иашәырхәеит автоматикла аҭаларазы аҽазышәарақәа зегьы,  ҳшәыҳәоит даҽа методк шәхы иашәырхәарц.
You reached the maximum fingerprint authentication attempts, please try another method	Шәара шәхы иашәырхәеит анацәа ашьҭа ала аҭаларазы аҽазышәарақәа зегьы,  ҳшәыҳәоит даҽа методк шәхы иашәырхәарц
You reached the maximum password authentication attempts, please try another method	Шәара шәхы иашәырхәеит ажәамаӡала аҭаларазы аҽазышәарақәа зегьы,  ҳшәыҳәоит даҽа методк шәхы иашәырхәарц
You reached the maximum smart card authentication attempts, please try another method	Шәара шәхы иашәырхәеит смарт-ахсаала ала аҭаларазы аҽазышәарақәа зегьы,  ҳшәыҳәоит даҽа методк шәхы иашәырхәарц
You’ve won in a time of %02u:%02u!	Шәара аиаара шәгеит %02u:%02u! рыла!
You will be notified when the download has completed.	Аҭагалара анхырқәшахалак ашьҭахь шәара адырра шәоуоуит
